entity_type,entity_id,node_id,x_m,y_m
CH,0,1610,117.361,202.386
CH,1,1635,329.663,267.446
CH,2,1651,85.58,919.115
CH,3,1662,607.502,888.065
CH,4,1672,353.807,341.426
CH,5,1684,561.504,66.894
CH,6,1759,295.197,895.573
CH,7,1775,125.696,970.69
CH,8,1797,185.416,896.327
CH,9,1805,364.466,766.008
CH,10,1807,636.135,559.917
CH,11,1815,294.239,741.086
CH,12,1817,367.037,993.569
CH,13,1820,799.806,436.407
CH,14,1826,22.093,635.854
CH,15,1848,149.445,785.706
CH,16,1852,25.496,728.581
CH,17,1875,31.109,1017.896
CH,18,1877,928.818,28.23
CH,19,1885,349.632,204.383
CH,20,1894,1010.951,521.937
CH,21,1897,997.376,243.597
CH,22,1907,487.853,534.775
CH,23,1913,922.158,661.823
CH,24,1929,469.078,43.922
CH,25,1945,842.95,77.307
CH,26,1955,834.242,339.049
CH,27,1970,938.382,186.9
CH,28,1976,440.979,213.482
CH,29,1986,504.408,281.893
CH,30,1998,574.711,578.413
CH,31,2000,109.875,707.169
CH,32,2005,268.027,449.531
CH,33,2016,773.491,537.478
CH,34,2039,905.615,102.843
CH,35,2041,205.703,18.701
CH,36,2052,618.519,958.546
CH,37,2064,439.161,719.545
CH,38,2085,543.941,939.067
CH,39,2095,18.104,940.469
CH,40,2116,468.013,943.21
CH,41,2127,282.867,967.582
CH,42,2132,465.996,105.617
CH,43,2144,279.603,379.257
CH,44,2168,1008.194,2.828
CH,45,2169,117.302,865.235
CH,46,2188,582.43,135.899
CH,47,2191,46.296,868.894
CH,48,2192,145.639,346.965
CH,49,2200,283.846,210.195
CH,50,2221,546.885,518.156
CH,51,2223,764.936,186.862
CH,52,2232,208.293,220.164
CH,53,2237,116.244,638.123
CH,54,2241,528.473,15.466
CH,55,2248,244.716,662.835
CH,56,2256,10.282,350.887
CH,57,2260,464.253,633.271
CH,58,2268,256.62,527.8
CH,59,2303,636.267,688.28
CH,60,2306,1005.389,429.912
CH,61,2321,899.81,245.111
CH,62,2328,844.784,9.998
CH,63,2344,601.976,493.472
CH,64,2370,151.347,120.427
CH,65,2380,41.789,168.2
CH,66,2436,309.632,76.348
CH,67,2459,210.863,723.242
CH,68,2462,68.363,82.425
CH,69,2492,298.997,9.755
CH,70,2496,1013.503,95.453
CH,71,2500,823.029,605.919
CH,72,2522,772.129,4.095
CH,73,2524,223.778,160.936
CH,74,2536,504.725,391.743
CH,75,2541,901.885,312.688
CH,76,2566,705.06,1000.905
CH,77,2582,4.326,260.807
CH,78,2608,476.927,1011.12
CH,79,2610,511.328,202.346
CH,80,2641,227.737,305.339
CH,81,2644,112.995,12.693
CH,82,2651,921.963,459.653
CH,83,2658,422.772,495.656
CH,84,2667,696.996,529.256
CH,85,2700,352.409,665.467
CH,86,2710,83.601,773.159
CH,87,2733,702.787,141.961
CH,88,2749,3.305,90.469
CH,89,2764,841.085,264.081
CH,90,2776,402.17,15.295
CH,91,2846,703.45,71.013
CH,92,2847,233.685,1013.88
CH,93,2854,235.912,100.529
CH,94,2861,942.363,542.744
CH,95,2907,187.575,502.825
CH,96,2929,1004.834,611.843
CH,97,2937,237.742,828.779
CH,98,2941,863.045,512.901
CH,99,2949,672.973,607.701
CH,100,2974,180.886,572.034
CH,101,2985,527.779,745.432
CH,102,2992,608.475,779.497
CH,103,2993,5.356,20.756
CH,104,3030,726.895,351.299
CH,105,3034,891.118,593.806
CH,106,3051,468.879,786.406
CH,107,3067,865.438,705.323
CH,108,3075,660.774,812.958
CH,109,3100,706.431,422.335
CH,110,3110,548.429,663.239
CH,111,3132,124.114,511.587
CH,112,3149,317.749,136.73
CH,113,3193,702.474,680.569
CH,114,3208,8.909,802.958
CH,115,3238,864.685,440.437
CH,116,3261,303.187,827.288
CH,117,3302,214.184,956.551
CH,118,3304,281.386,606.072
CH,119,3315,666.701,215.844
CH,120,3348,582.467,242.757
CH,121,3363,675.176,872.524
CH,122,3385,409.615,75.694
CH,123,3433,3.432,543.525
CH,124,3438,102.343,574.173
CH,125,3442,374.97,920.555
CH,126,3444,155.463,268.357
CH,127,3450,704.115,10.037
CH,128,3453,547.599,862.99
CH,129,3456,597.654,6.566
CH,130,3468,758.619,269.359
CH,131,3514,197.826,424.681
CH,132,3527,525.521,453.52
CH,133,3534,398.339,137.582
CH,134,3551,999.024,154.767
CH,135,3583,11.362,446.468
CH,136,3593,85.423,448.597
CH,137,3609,666.392,301.212
CH,138,3625,386.647,584.329
CH,139,3669,355.352,422.837
CH,140,3684,312.542,492.083
CH,141,3697,778.921,86.083
CH,142,3721,915.069,383.136
CH,143,3723,67.355,379.91
CH,144,3738,429.815,316.645
CH,145,3748,438.073,416.891
CH,146,3767,980.981,310.43
CH,147,3776,630.878,63.475
CH,148,3794,545.673,343.01
CH,149,3810,553.348,1016.988
CH,150,3827,708.496,751.651
CH,151,3855,991.775,712.044
CH,152,3857,456.129,869.598
CH,153,3865,828.464,175.472
CH,154,3888,622.214,382.081
CH,155,3917,773.314,661.301
CH,156,3929,75.155,267.177
CH,157,3975,405.644,835.444
CH,158,3986,746.336,599.013
CH,159,3988,181.513,654.83
BS,0,,204.0,204.0
BS,1,,816.0,204.0
BS,2,,204.0,816.0
BS,3,,816.0,816.0
BS,4,,510.0,510.0
