entity_type,entity_id,node_id,x_m,y_m
CH,0,1208,606.206,148.858
CH,1,1209,520.343,532.39
CH,2,1216,366.741,3.319
CH,3,1221,554.589,405.828
CH,4,1223,619.239,608.807
CH,5,1233,301.674,186.181
CH,6,1237,16.081,621.32
CH,7,1247,552.509,221.253
CH,8,1249,397.329,127.624
CH,9,1252,622.773,440.018
CH,10,1258,231.44,613.205
CH,11,1264,450.647,223.419
CH,12,1272,90.176,506.088
CH,13,1285,467.898,443.113
CH,14,1292,332.136,374.179
CH,15,1296,300.827,52.804
CH,16,1306,274.609,323.82
CH,17,1307,532.166,461.981
CH,18,1319,533.292,18.534
CH,19,1326,185.004,344.595
CH,20,1340,565.495,325.668
CH,21,1348,571.43,86.565
CH,22,1352,21.808,295.771
CH,23,1359,192.569,569.466
CH,24,1364,340.492,447.157
CH,25,1365,217.991,392.921
CH,26,1371,78.865,570.165
CH,27,1374,476.82,576.068
CH,28,1378,584.312,530.124
CH,29,1379,413.552,513.433
CH,30,1382,327.821,114.147
CH,31,1384,137.089,539.83
CH,32,1388,131.307,446.433
CH,33,1396,398.476,362.937
CH,34,1403,527.014,144.202
CH,35,1406,349.756,324.841
CH,36,1429,461.835,117.12
CH,37,1435,69.513,385.875
CH,38,1446,503.664,334.019
CH,39,1461,598.784,14.944
CH,40,1463,362.048,268.946
CH,41,1468,635.798,52.217
CH,42,1469,178.927,504.453
CH,43,1481,347.888,620.742
CH,44,1493,22.667,463.417
CH,45,1499,131.726,592.562
CH,46,1503,165.322,290.283
CH,47,1505,621.09,381.234
CH,48,1506,624.245,302.35
CH,49,1520,392.568,202.337
CH,50,1522,452.089,45.499
CH,51,1525,532.024,627.293
CH,52,1527,424.539,630.596
CH,53,1528,21.47,534.866
CH,54,1529,421.882,304.126
CH,55,1530,92.754,324.464
CH,56,1545,288.828,539.985
CH,57,1546,247.634,465.015
CH,58,1548,151.26,388.399
CH,59,1558,284.047,409.072
CH,60,1574,341.474,519.383
CH,61,1579,622.624,230.841
CH,62,1580,483.752,270.488
CH,63,1587,285.332,608.39
BS,0,,128.0,128.0
BS,1,,512.0,128.0
BS,2,,128.0,512.0
