node_id,x_m,y_m
0,500.196,403.684
1,151.068,934.421
2,8.924,542.994
3,968.569,88.957
4,598.395,665.515
5,46.004,409.825
6,758.945,488.375
7,782.17,171.101
8,258.101,121.38
9,546.745,996.041
10,637.301,835.049
11,414.823,804.798
12,111.396,315.308
13,727.478,782.86
14,455.809,96.379
15,289.005,227.842
16,304.554,873.034
17,216.644,955.766
18,948.206,60.953
19,409.606,531.082
20,27.268,459.004
21,977.298,122.562
22,644.206,132.446
23,624.682,965.347
24,220.485,10.88
25,91.85,582.792
26,20.792,93.284
27,536.494,992.917
28,454.036,430.393
29,689.26,102.518
30,625.865,187.669
31,657.164,1033.159
32,60.29,599.245
33,654.466,162.652
34,290.702,1072.495
35,1075.81,132.557
36,761.084,1025.193
37,256.782,659.573
38,48.301,395.759
39,727.358,637.119
40,835.497,95.331
41,375.585,931.703
42,630.534,487.599
43,434.735,1063.013
44,620.093,21.762
45,862.122,355.694
46,468.524,231.648
47,479.76,351.387
48,97.567,679.353
49,112.903,845.69
50,29.321,842.056
51,870.924,537.128
52,765.366,269.129
53,795.676,459.308
54,250.506,1039.344
55,433.373,403.315
56,927.254,399.431
57,720.236,186.06
58,909.363,280.589
59,56.342,1051.379
60,187.886,1020.455
61,1063.115,654.656
62,14.777,67.54
63,226.456,420.433
64,660.026,1041.882
65,383.475,153.333
66,606.639,149.734
67,95.169,600.213
68,750.883,72.582
69,487.707,759.336
70,824.247,414.109
71,956.602,183.93
72,771.842,832.354
73,949.155,534.013
74,108.768,54.143
75,571.029,188.502
76,679.54,92.677
77,841.44,241.311
78,16.003,191.215
79,493.407,603.748
80,419.794,188.202
81,520.698,1020.366
82,578.122,1014.825
83,32.96,1070.634
84,958.558,587.725
85,565.281,579.945
86,980.659,72.563
87,693.664,585.355
88,325.142,782.022
89,777.448,113.054
90,754.684,490.0
91,529.472,687.155
92,58.972,650.74
93,403.502,947.518
94,250.669,887.679
95,787.038,674.485
96,944.414,40.735
97,644.328,661.883
98,731.588,439.584
99,76.206,205.461
100,656.333,197.093
101,71.807,383.759
102,507.98,578.272
103,29.946,836.518
104,361.2,844.315
105,11.222,1028.546
106,637.104,1052.569
107,1063.275,898.076
108,116.309,377.269
109,250.897,841.263
110,208.767,239.962
111,121.012,131.218
112,1011.429,1052.384
113,402.732,799.376
114,505.04,563.687
115,399.569,684.952
116,256.101,277.848
117,559.182,214.357
118,474.639,1017.638
119,25.924,113.101
120,862.768,64.196
121,272.33,918.364
122,653.252,239.474
123,65.064,298.098
124,324.96,863.1
125,1051.696,848.047
126,972.283,1003.413
127,945.195,991.893
128,1043.071,103.591
129,343.822,267.969
130,652.087,531.075
131,375.309,902.724
132,431.423,226.811
133,299.394,498.843
134,658.865,613.64
135,475.368,202.496
136,434.73,351.726
137,185.531,587.217
138,204.893,767.684
139,710.829,150.158
140,674.899,365.523
141,483.054,654.654
142,821.486,952.726
143,791.3,229.287
144,585.127,362.858
145,22.575,596.448
146,508.362,934.792
147,350.288,898.922
148,555.219,108.626
149,773.404,308.292
150,576.047,78.853
151,13.624,992.983
152,47.214,162.444
153,177.709,105.349
154,888.696,1072.871
155,700.522,427.514
156,957.958,546.679
157,147.091,744.668
158,388.277,292.438
159,346.799,416.306
160,198.296,661.054
161,936.409,616.151
162,12.168,738.208
163,23.649,517.176
164,933.531,730.611
165,979.235,813.986
166,295.541,156.633
167,487.79,733.457
168,251.693,358.209
169,806.977,376.072
170,648.562,588.862
171,1001.467,30.221
172,202.575,839.712
173,721.934,105.909
174,146.776,228.81
175,586.413,972.928
176,235.042,220.233
177,739.903,457.253
178,913.027,1076.901
179,1009.313,772.056
180,535.916,67.533
181,871.552,430.837
182,500.835,682.189
183,1039.337,600.233
184,989.64,1039.405
185,93.338,383.587
186,958.052,827.733
187,1044.765,202.494
188,573.532,1005.764
189,582.847,723.35
190,1051.011,188.476
191,62.786,920.764
192,627.225,217.582
193,897.567,307.066
194,141.63,322.27
195,40.802,438.657
196,840.818,490.538
197,1039.912,47.103
198,188.227,156.755
199,620.102,216.839
200,719.959,564.966
201,626.979,911.22
202,851.889,994.426
203,165.644,410.07
204,1035.391,428.968
205,309.245,520.432
206,196.628,914.802
207,686.361,103.753
208,1039.558,561.959
209,274.993,661.226
210,1023.755,375.22
211,16.999,214.7
212,65.112,570.788
213,337.158,918.278
214,223.887,18.235
215,501.971,134.733
216,336.024,244.638
217,193.725,686.562
218,1009.364,400.241
219,689.098,349.684
220,986.597,596.905
221,33.502,800.198
222,227.842,52.458
223,22.839,906.118
224,765.794,387.275
225,601.994,761.027
226,83.222,761.462
227,764.637,1015.96
228,65.618,617.926
229,548.852,912.436
230,393.763,714.777
231,967.208,377.285
232,556.57,963.472
233,38.713,1050.064
234,338.781,494.083
235,311.513,860.319
236,575.138,806.559
237,113.738,949.312
238,885.229,734.021
239,241.714,281.351
240,488.411,72.041
241,1028.043,440.818
242,1027.822,198.822
243,699.311,861.467
244,695.496,457.276
245,22.579,470.58
246,421.762,1018.818
247,1049.567,1031.584
248,1056.666,183.741
249,33.925,316.275
250,10.514,129.874
251,623.047,218.19
252,659.153,411.566
253,296.905,1044.973
254,202.425,951.421
255,568.868,715.351
256,156.951,803.573
257,959.175,215.155
258,510.714,704.943
259,512.777,811.152
260,695.278,339.869
261,734.834,833.842
262,500.621,637.226
263,684.864,515.114
264,97.563,440.671
265,839.128,780.952
266,81.836,516.397
267,634.394,575.427
268,163.162,697.86
269,752.348,578.412
270,1013.018,623.522
271,15.242,308.524
272,757.417,87.863
273,1040.354,754.169
274,825.127,184.835
275,9.286,941.401
276,551.823,477.64
277,559.712,828.581
278,402.816,833.483
279,176.218,1056.795
280,750.767,344.786
281,515.347,950.359
282,352.343,754.162
283,980.355,1035.652
284,277.171,857.14
285,656.915,872.012
286,76.795,446.387
287,487.884,878.442
288,488.412,47.218
