entity_type,entity_id,node_id,x_m,y_m
CH,0,25,617.187,404.089
CH,1,28,199.58,374.303
CH,2,51,5.022,1015.88
CH,3,97,304.618,90.275
CH,4,105,113.165,315.395
CH,5,140,846.596,694.257
CH,6,150,949.934,453.565
CH,7,171,671.996,722.157
CH,8,176,796.365,179.023
CH,9,222,785.428,440.146
CH,10,224,411.295,817.658
CH,11,228,737.644,623.754
CH,12,233,952.765,522.476
CH,13,271,2.542,795.949
CH,14,279,676.907,915.368
CH,15,283,729.902,975.316
CH,16,299,126.097,628.916
CH,17,325,109.06,211.752
CH,18,343,943.962,827.79
CH,19,347,499.007,530.33
CH,20,400,22.264,471.179
CH,21,431,392.805,356.438
CH,22,473,908.008,937.195
CH,23,482,509.428,1013.6
CH,24,519,886.267,460.061
CH,25,547,221.78,151.009
CH,26,570,1015.116,475.023
CH,27,597,747.51,225.396
CH,28,604,458.163,886.741
CH,29,605,47.964,615.422
CH,30,616,909.215,381.093
CH,31,641,213.139,588.165
CH,32,681,687.819,400.728
CH,33,689,921.923,5.018
CH,34,701,74.134,784.647
CH,35,703,767.185,342.598
CH,36,713,522.492,363.497
CH,37,719,583.702,459.137
CH,38,779,721.912,164.235
CH,39,786,692.878,500.219
CH,40,800,311.682,753.078
CH,41,802,153.733,164.532
CH,42,834,600.462,904.356
CH,43,851,215.511,685.582
CH,44,873,945.064,232.124
CH,45,889,896.637,753.634
CH,46,891,393.144,132.303
CH,47,892,194.346,1007.91
CH,48,928,574.987,238.064
CH,49,962,489.623,186.074
CH,50,988,39.095,210.827
CH,51,1003,103.015,418.54
CH,52,1011,278.842,918.022
CH,53,1050,97.717,848.956
CH,54,1054,242.296,3.036
CH,55,1088,210.138,811.037
CH,56,1164,14.185,35.7
CH,57,1176,558.239,10.204
CH,58,1186,667.814,332.959
CH,59,1286,139.036,72.48
CH,60,1291,403.64,924.323
CH,61,1297,750.259,736.996
CH,62,1343,116.201,526.521
CH,63,1372,970.534,742.417
CH,64,1397,799.128,857.276
CH,65,1400,258.141,543.467
CH,66,1418,1012.386,612.103
CH,67,1432,996.156,179.676
CH,68,1440,675.594,577.633
CH,69,1487,427.735,514.523
CH,70,1488,483.182,416.146
CH,71,1508,130.991,908.816
CH,72,1537,910.559,1006.328
CH,73,1556,785.401,543.236
CH,74,1570,865.824,843.621
CH,75,1586,516.286,726.164
CH,76,1667,498.025,88.834
CH,77,1692,447.863,753.283
CH,78,1727,399.252,32.894
CH,79,1771,118.849,730.769
CH,80,1838,402.619,694.153
CH,81,1856,400.832,251.926
CH,82,1860,971.986,374.823
CH,83,1876,312.913,635.584
CH,84,1910,94.94,138.252
CH,85,1918,875.905,576.827
CH,86,1929,846.369,377.607
CH,87,1959,816.343,788.474
CH,88,1972,942.635,604.879
CH,89,1982,173.866,7.288
CH,90,1999,619.659,1009.522
CH,91,2002,1014.467,113.394
CH,92,2006,305.938,204.218
CH,93,2057,94.31,977.605
CH,94,2069,5.501,379.777
CH,95,2077,643.27,848.662
CH,96,2083,899.458,66.36
CH,97,2085,842.78,1009.406
CH,98,2101,833.427,497.895
CH,99,2102,693.831,265.615
CH,100,2109,6.744,912.765
CH,101,2131,406.964,586.31
CH,102,2198,953.633,301.747
CH,103,2279,801.161,264.727
CH,104,2313,295.03,423.218
CH,105,2330,617.406,786.162
CH,106,2347,436.981,1010.249
CH,107,2406,933.623,670.746
CH,108,2463,776.113,92.305
CH,109,2464,824.562,4.664
CH,110,2505,719.872,845.79
CH,111,2516,562.485,973.604
CH,112,2530,1008.755,872.221
CH,113,2555,278.275,263.229
CH,114,2556,212.838,911.709
CH,115,2565,375.193,765.909
CH,116,2567,616.729,77.124
CH,117,2583,586.199,347.951
CH,118,2598,337.789,4.593
CH,119,2619,855.173,116.397
CH,120,2623,641.733,169.154
CH,121,2626,417.288,190.964
CH,122,2630,216.72,484.899
CH,123,2639,345.572,282.444
CH,124,2751,999.329,1003.413
CH,125,2752,1000.785,682.203
CH,126,2755,237.228,745.562
CH,127,2781,312.769,991.544
CH,128,2798,297.761,322.629
CH,129,2801,14.907,269.389
CH,130,2809,4.15,557.449
CH,131,2861,491.857,296.724
CH,132,2863,602.708,566.89
CH,133,2956,944.921,143.781
CH,134,3032,209.283,252.779
CH,135,3108,322.317,524.565
CH,136,3154,691.164,33.953
CH,137,3277,518.719,839.911
CH,138,3285,560.306,613.833
CH,139,3326,478.751,15.394
CH,140,3411,965.495,66.058
CH,141,3433,385.572,443.162
CH,142,3467,213.106,77.15
CH,143,3504,889.089,309.056
CH,144,3532,624.725,2.238
CH,145,3707,812.958,626.412
CH,146,3711,503.232,936.5
CH,147,3725,1009.555,267.977
CH,148,3726,13.316,690.321
CH,149,3746,975.376,936.84
CH,150,3777,575.092,138.42
CH,151,3821,873.392,219.785
CH,152,3840,1015.272,18.314
CH,153,3856,4.022,158.249
CH,154,3875,612.567,672.039
CH,155,3913,162.587,444.46
CH,156,3923,87.598,27.6
CH,157,3931,811.218,920.084
CH,158,3959,489.81,629.865
CH,159,3989,312.915,860.926
BS,0,,204.0,204.0
BS,1,,816.0,204.0
BS,2,,204.0,816.0
BS,3,,816.0,816.0
BS,4,,510.0,510.0
