run_id,external_run_id,architecture,load,failure_family,healing_id,scale,seed,node_count,cluster_count,map_id,map_signature,simulation_duration,initial_energy_total,final_energy_total,total_consumed_energy,avg_residual_energy,min_residual_energy,ch_energy_consumed,relay_energy_consumed,member_energy_consumed,low_energy_node_count,dead_node_count,raw_tx,raw_rx,agg_tx,agg_rx,delivery_ratio,packet_loss,throughput,recovery_delay,first_recovered_packet_time,network_lifetime,failure_time,failure_detected_time,recovery_start_time,recovery_applied_time,first_recovered_aggregate_time,recovery_success_flag
1362,S500_B_L1_F0_H0_seed01,B,L1,F0,H0,S12,1,500,20,map_S12_seed01,babb0982ea530a72c910fda7fc56b44171e69eb61534c4e4140161b263ddf305,600.0,1000.0,885.2647999999981,114.73520000000015,1.766995608782435,0.0,38.7032,0.0,76.03200000000014,19,501,95040,95040,1980,1980,1.0,0.0,158.4,,,600.0,,,,,,0
1363,S500_B_L1_F0_H0_seed02,B,L1,F0,H0,S12,2,500,20,map_S12_seed02,e279226de4a20edd3b1a78fa7aee27a666c67a9447a28e26ecedb0877235501f,600.0,1000.0,886.634599999998,113.36540000000014,1.769729740518962,0.0,37.333400000000005,0.0,76.03200000000014,17,501,95040,95040,1980,1980,1.0,0.0,158.4,,,600.0,,,,,,0
1364,S500_B_L1_F0_H0_seed03,B,L1,F0,H0,S12,3,500,20,map_S12_seed03,c55be39807209696231cb59598489ab3e5d117b6831df773afbe4e715b7c1341,600.0,1000.0,884.4087999999981,115.59120000000016,1.7652870259481037,0.0,39.5592,0.0,76.03200000000014,20,501,95040,95040,1980,1980,1.0,0.0,158.4,,,600.0,,,,,,0
1365,S500_B_L2_F0_H0_seed01,B,L2,F0,H0,S12,1,500,20,map_S12_seed01,babb0982ea530a72c910fda7fc56b44171e69eb61534c4e4140161b263ddf305,600.0,1000.0,839.645600000006,160.35440000000034,1.6759393213572853,0.0,38.7032,0.0,121.65119999999924,19,501,95040,95040,1980,1980,1.0,0.0,158.4,,,600.0,,,,,,0
1366,S500_B_L2_F0_H0_seed02,B,L2,F0,H0,S12,2,500,20,map_S12_seed02,e279226de4a20edd3b1a78fa7aee27a666c67a9447a28e26ecedb0877235501f,600.0,1000.0,841.015400000006,158.98460000000046,1.6786734530938123,0.0,37.333400000000005,0.0,121.65119999999924,17,501,95040,95040,1980,1980,1.0,0.0,158.4,,,600.0,,,,,,0
1367,S500_B_L2_F0_H0_seed03,B,L2,F0,H0,S12,3,500,20,map_S12_seed03,c55be39807209696231cb59598489ab3e5d117b6831df773afbe4e715b7c1341,600.0,1000.0,838.789600000006,161.21040000000056,1.674230738522954,0.0,39.5592,0.0,121.65119999999924,20,501,95040,95040,1980,1980,1.0,0.0,158.4,,,600.0,,,,,,0
1368,S1000_B_L1_F0_H0_seed01,B,L1,F0,H0,S13,1,1000,40,map_S13_seed01,cc673a7846403eabfa8f928a33f9aa5b088d343fa556863d5a8b52a37ce2d7b3,600.0,2000.0,1770.3655999999844,229.6344000000003,1.7668319361277445,0.0,77.5704,0.0,152.06400000000028,38,1002,190080,190080,3960,3960,1.0,0.0,316.8,,,600.0,,,,,,0
1369,S1000_B_L1_F0_H0_seed02,B,L1,F0,H0,S13,2,1000,40,map_S13_seed02,b36740a8ea197787f14250eb14a9b8d15fa3d4123debd19cf354930a97f51c14,600.0,2000.0,1772.4415999999844,227.55840000000026,1.7689037924151696,0.0,75.49440000000001,0.0,152.06400000000028,35,1002,190080,190080,3960,3960,1.0,0.0,316.8,,,600.0,,,,,,0
1370,S1000_B_L1_F0_H0_seed03,B,L1,F0,H0,S13,3,1000,40,map_S13_seed03,83d2d3fc4af7b77332c1af1b2574a7a3c640fa56d09458b02dc93e5b3a062f2b,600.0,2000.0,1772.452999999984,227.54700000000025,1.7689151696606786,0.0,75.483,0.0,152.06400000000028,35,1002,190080,190080,3960,3960,1.0,0.0,316.8,,,600.0,,,,,,0
1371,S1000_B_L2_F0_H0_seed01,B,L2,F0,H0,S13,1,1000,40,map_S13_seed01,cc673a7846403eabfa8f928a33f9aa5b088d343fa556863d5a8b52a37ce2d7b3,600.0,2000.0,1679.1272000000276,320.87280000000595,1.6757756487025948,0.0,77.5704,0.0,243.30240000000458,38,1002,190080,190080,3960,3960,1.0,0.0,316.8,,,600.0,,,,,,0
