external_run_id,run_id,initial_energy_total,final_energy_total,total_consumed_energy,avg_residual_energy,min_residual_energy,ch_energy_consumed,relay_energy_consumed,member_energy_consumed,low_energy_node_count,dead_node_count
S500_B_L1_F0_H0_seed01,1362,1000.0,885.2647999999981,114.73520000000015,1.766995608782435,0.0,38.7032,0.0,76.03200000000014,19,501
S500_B_L1_F0_H0_seed02,1363,1000.0,886.634599999998,113.36540000000014,1.769729740518962,0.0,37.333400000000005,0.0,76.03200000000014,17,501
S500_B_L1_F0_H0_seed03,1364,1000.0,884.4087999999981,115.59120000000016,1.7652870259481037,0.0,39.5592,0.0,76.03200000000014,20,501
S500_B_L2_F0_H0_seed01,1365,1000.0,839.645600000006,160.35440000000034,1.6759393213572853,0.0,38.7032,0.0,121.65119999999924,19,501
S500_B_L2_F0_H0_seed02,1366,1000.0,841.015400000006,158.98460000000046,1.6786734530938123,0.0,37.333400000000005,0.0,121.65119999999924,17,501
S500_B_L2_F0_H0_seed03,1367,1000.0,838.789600000006,161.21040000000056,1.674230738522954,0.0,39.5592,0.0,121.65119999999924,20,501
S1000_B_L1_F0_H0_seed01,1368,2000.0,1770.3655999999844,229.6344000000003,1.7668319361277445,0.0,77.5704,0.0,152.06400000000028,38,1002
S1000_B_L1_F0_H0_seed02,1369,2000.0,1772.4415999999844,227.55840000000026,1.7689037924151696,0.0,75.49440000000001,0.0,152.06400000000028,35,1002
S1000_B_L1_F0_H0_seed03,1370,2000.0,1772.452999999984,227.54700000000025,1.7689151696606786,0.0,75.483,0.0,152.06400000000028,35,1002
S1000_B_L2_F0_H0_seed01,1371,2000.0,1679.1272000000276,320.87280000000595,1.6757756487025948,0.0,77.5704,0.0,243.30240000000458,38,1002
S1000_B_L2_F0_H0_seed02,1372,2000.0,1681.2032000000277,318.79680000000633,1.67784750499002,0.0,75.49440000000001,0.0,243.30240000000458,35,1002
S1000_B_L2_F0_H0_seed03,1373,2000.0,1681.214600000027,318.7854000000061,1.6778588822355287,0.0,75.483,0.0,243.30240000000458,35,1002
S500_B_L1_F2_H0_seed01,1374,1000.0,892.4497999999975,107.55020000000005,1.7813369261477046,0.0,37.2462,0.0,70.3040000000001,18,501
S500_B_L1_F2_H0_seed02,1375,1000.0,888.5167999999979,111.48320000000011,1.773486626746507,0.0,36.3104,0.0,75.17280000000012,17,501
S500_B_L1_F2_H0_seed03,1376,1000.0,890.9422999999974,109.05770000000004,1.7783279441117763,0.0,38.0377,0.0,71.02000000000011,19,501
S500_B_L2_F2_H0_seed01,1377,1000.0,850.267400000006,149.73260000000002,1.6971405189620759,0.0,37.2462,0.0,112.4863999999994,18,501
S500_B_L2_F2_H0_seed02,1378,1000.0,843.4131200000061,156.58688000000035,1.6834593213572853,0.0,36.3104,0.0,120.27647999999927,17,501
S500_B_L2_F2_H0_seed03,1379,1000.0,848.3303000000061,151.6697000000003,1.6932740518962075,0.0,38.0377,0.0,113.6319999999994,19,501
S1000_B_L1_F2_H0_seed01,1380,2000.0,1774.423399999984,225.57660000000018,1.7708816367265467,0.0,75.80380000000001,0.0,149.77280000000022,37,1002
S1000_B_L1_F2_H0_seed02,1381,2000.0,1777.411499999984,222.58850000000015,1.7738637724550899,0.0,73.81810000000002,0.0,148.7704000000002,34,1002
S1000_B_L1_F2_H0_seed03,1382,2000.0,1775.4099999999837,224.5900000000002,1.7718662674650698,0.0,73.958,0.0,150.63200000000023,34,1002
S1000_B_L2_F2_H0_seed01,1383,2000.0,1684.5597200000273,315.4402800000057,1.6811973253493013,0.0,75.80380000000001,0.0,239.63648000000433,37,1002
S1000_B_L2_F2_H0_seed02,1384,2000.0,1688.1492600000272,311.850740000006,1.6847797005988023,0.0,73.81810000000002,0.0,238.03264000000422,34,1002
S1000_B_L2_F2_H0_seed03,1385,2000.0,1685.030800000027,314.9692000000059,1.6816674650698602,0.0,73.958,0.0,241.0112000000044,34,1002
S500_B_L1_F2_H1_seed01,1386,1000.0,884.9425999999988,115.05740000000017,1.76635249500998,0.0,37.2462,0.0,77.81120000000013,19,501
S500_B_L1_F2_H1_seed02,1387,1000.0,886.6555999999981,113.34440000000014,1.7697716566866266,0.0,36.3104,0.0,77.03400000000013,17,501
S500_B_L1_F2_H1_seed03,1388,1000.0,884.1430999999988,115.85690000000018,1.7647566866267466,0.0,38.0377,0.0,77.81920000000011,20,501
S500_B_L2_F2_H1_seed01,1389,1000.0,839.4558800000048,160.54412000000025,1.6755606387225548,0.0,37.2462,0.0,123.29791999999922,19,501
S500_B_L2_F2_H1_seed02,1390,1000.0,841.0421600000059,158.95784000000043,1.678726866267465,0.0,36.3104,0.0,122.64743999999922,17,501
S500_B_L2_F2_H1_seed03,1391,1000.0,838.6515800000051,161.34842000000043,1.673955249500998,0.0,38.0377,0.0,123.31071999999922,20,501
S1000_B_L1_F2_H1_seed01,1392,2000.0,1770.3145999999851,229.68540000000033,1.7667810379241515,0.0,75.80380000000001,0.0,153.8816000000003,38,1002
S1000_B_L1_F2_H1_seed02,1393,2000.0,1772.3114999999855,227.68850000000035,1.7687739520958081,0.0,73.81810000000002,0.0,153.8704000000003,35,1002
S1000_B_L1_F2_H1_seed03,1394,2000.0,1772.4859999999844,227.51400000000027,1.768948103792415,0.0,73.958,0.0,153.5560000000003,35,1002
S1000_B_L2_F2_H1_seed01,1395,2000.0,1679.1856400000263,320.8143600000058,1.6758339720558881,0.0,75.80380000000001,0.0,245.01056000000452,38,1002
S1000_B_L2_F2_H1_seed02,1396,2000.0,1681.189260000026,318.8107400000061,1.677833592814371,0.0,73.81810000000002,0.0,244.99264000000446,35,1002
S1000_B_L2_F2_H1_seed03,1397,2000.0,1681.2572000000264,318.74280000000596,1.6779013972055885,0.0,73.958,0.0,244.78480000000454,35,1002
S500_B_L1_F2_H3_seed01,1398,1000.0,887.7745999999981,112.22540000000009,1.7720051896207585,0.0,37.2462,0.0,74.9792000000001,19,501
S500_B_L1_F2_H4_seed02,1399,1000.0,886.6555999999981,113.34440000000014,1.7697716566866266,0.0,36.3104,0.0,77.03400000000013,17,501
S500_B_L1_F2_H4_seed03,1400,1000.0,884.1430999999988,115.85690000000018,1.7647566866267466,0.0,38.0377,0.0,77.81920000000011,20,501
S500_B_L2_F2_H4_seed01,1401,1000.0,839.4558800000048,160.54412000000025,1.6755606387225548,0.0,37.2462,0.0,123.29791999999922,19,501
S500_B_L2_F2_H4_seed02,1402,1000.0,841.0421600000059,158.95784000000043,1.678726866267465,0.0,36.3104,0.0,122.64743999999922,17,501
S500_B_L2_F2_H4_seed03,1403,1000.0,838.6515800000051,161.34842000000043,1.673955249500998,0.0,38.0377,0.0,123.31071999999922,20,501
S1000_B_L1_F2_H4_seed01,1404,2000.0,1770.3145999999851,229.68540000000033,1.7667810379241515,0.0,75.80380000000001,0.0,153.8816000000003,38,1002
S1000_B_L1_F2_H4_seed02,1405,2000.0,1772.3114999999855,227.68850000000035,1.7687739520958081,0.0,73.81810000000002,0.0,153.8704000000003,35,1002
