node_id,x_m,y_m
0,845.293,868.881
1,934.952,1003.518
2,875.076,868.892
3,897.013,1020.889
4,877.128,1016.898
5,998.406,874.578
6,968.602,947.89
7,939.602,1077.139
8,864.337,847.198
9,1063.817,937.334
10,889.166,920.221
11,928.369,1067.425
12,891.954,893.508
13,980.203,971.363
14,1067.102,1039.994
15,926.157,890.429
16,1039.459,1075.403
17,849.555,1015.577
18,1046.985,995.811
19,893.845,1030.078
20,1014.345,888.062
21,993.393,894.04
22,852.157,921.564
23,921.171,935.737
24,994.778,1039.402
25,1068.888,1072.447
26,1076.47,1028.488
27,914.567,883.936
28,989.356,970.995
29,1001.316,864.434
30,887.822,1059.392
31,984.087,1006.229
32,864.934,936.445
33,1056.818,995.382
34,1076.034,888.788
35,949.551,1031.008
36,947.166,1028.268
37,974.732,870.21
38,865.693,1073.994
39,870.512,888.132
40,921.376,1010.491
41,1043.623,954.472
42,959.764,1028.156
43,907.897,930.138
44,986.757,992.295
45,851.371,868.792
46,874.897,1013.24
47,1005.652,1071.675
48,1023.233,902.42
49,1022.752,1074.474
50,924.552,845.036
51,930.795,908.962
52,883.892,853.024
53,871.815,1046.239
54,854.177,987.047
55,891.053,887.945
56,1035.763,912.78
57,885.709,949.563
58,1006.127,965.945
59,1044.951,936.97
60,965.864,1011.348
61,951.139,1011.327
62,952.401,873.885
63,871.492,1026.903
64,1017.886,1064.513
65,1004.994,978.988
66,881.55,1043.398
67,870.392,942.5
68,875.532,932.093
69,914.775,942.652
70,1009.932,969.99
71,899.591,1025.892
72,1015.592,1037.294
73,850.169,987.226
74,1053.354,903.381
75,890.028,1034.148
76,928.131,936.942
77,1035.035,932.907
78,889.153,892.909
79,923.826,1006.818
80,929.161,1024.061
81,857.941,901.072
82,989.632,955.376
83,960.165,1062.786
84,907.745,885.178
85,850.35,956.071
86,912.407,954.023
87,843.714,842.447
88,931.852,1020.894
89,913.187,1057.401
90,978.906,937.452
91,1025.496,897.341
92,984.984,1041.838
93,969.842,917.729
94,865.017,977.662
95,886.595,930.326
96,970.199,1064.124
97,1001.047,964.753
98,1044.628,915.108
