run_id,base_condition_key,scale,architecture,failure_family,load,seed,map_signature,candidate_healing_id,final_raw_tx,final_raw_rx,final_raw_delivery_ratio,final_agg_tx,final_agg_rx,final_agg_delivery_ratio,final_avg_res_j,final_min_res_j,final_consumed_j,final_failed_chs,final_recovered_clusters,low_nodes,traffic_recovery_delay_s,score,is_best_candidate,split
74,S1|A|F0|L2|1|5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,S1,A,F0,L2,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,H0,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.984866,1.853000,0.756680,0,0,0,,,,train
75,S1|B|F0|L1|1|5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,S1,B,F0,L1,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,H0,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.988476,1.853000,0.576200,0,0,0,,,,train
76,S1|B|F0|L2|1|5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,S1,B,F0,L2,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,H0,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.984866,1.853000,0.756680,0,0,0,,,,train
77,S1|A|F0|L1|2|820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,S1,A,F0,L1,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,H0,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.988476,1.844000,0.576200,0,0,0,,,,train
78,S1|A|F0|L2|2|820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,S1,A,F0,L2,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,H0,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.984866,1.844000,0.756680,0,0,0,,,,train
79,S1|B|F0|L1|2|820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,S1,B,F0,L1,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,H0,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.988476,1.844000,0.576200,0,0,0,,,,train
80,S1|B|F0|L2|2|820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,S1,B,F0,L2,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,H0,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.984866,1.844000,0.756680,0,0,0,,,,train
81,S1|A|F0|L1|3|ba2838a4ed006e12afeb225b2d92e1e1d0d60559d3886328b9bafdf26d70da9c,S1,A,F0,L1,3,ba2838a4ed006e12afeb225b2d92e1e1d0d60559d3886328b9bafdf26d70da9c,H0,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.988476,1.844000,0.576200,0,0,0,,,,train
82,S1|A|F0|L2|3|ba2838a4ed006e12afeb225b2d92e1e1d0d60559d3886328b9bafdf26d70da9c,S1,A,F0,L2,3,ba2838a4ed006e12afeb225b2d92e1e1d0d60559d3886328b9bafdf26d70da9c,H0,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.984866,1.844000,0.756680,0,0,0,,,,train
83,S1|B|F0|L1|3|ba2838a4ed006e12afeb225b2d92e1e1d0d60559d3886328b9bafdf26d70da9c,S1,B,F0,L1,3,ba2838a4ed006e12afeb225b2d92e1e1d0d60559d3886328b9bafdf26d70da9c,H0,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.988476,1.844000,0.576200,0,0,0,,,,train
