run_id,scale,architecture,failure_family,healing_id,load,seed,map_signature,final_raw_tx,final_raw_rx,final_raw_delivery_ratio,final_agg_tx,final_agg_rx,final_agg_delivery_ratio,final_avg_res_j,final_min_res_j,final_consumed_j,final_failed_chs,final_recovered_clusters,low_nodes,traffic_recovery_delay_s,recovery_applied_delay_s,recovery_target_source,split
172,S1,A,F2,H2,L1,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.988476,1.853000,0.576200,0,1,0,5.000,,first_recovered_aggregate,train
174,S1,A,F3,H3,L1,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,348,348,1.00000000000000000000,12,12,1.00000000000000000000,1.989296,1.853000,0.535200,0,1,0,5.000,,first_recovered_aggregate,train
176,S1,A,F4,H4,L1,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,253,253,1.00000000000000000000,12,12,1.00000000000000000000,1.992082,1.915000,0.395900,0,1,0,5.000,,first_recovered_aggregate,train
178,S1,A,F1,H1,L2,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.945590,0.000000,0.756680,0,1,1,5.000,,first_recovered_aggregate,train
180,S1,A,F2,H2,L2,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.984866,1.853000,0.756680,0,1,0,5.000,,first_recovered_aggregate,train
182,S1,A,F3,H3,L2,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,348,348,1.00000000000000000000,12,12,1.00000000000000000000,1.985955,1.853000,0.702240,0,1,0,5.000,,first_recovered_aggregate,train
184,S1,A,F4,H4,L2,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,253,253,1.00000000000000000000,12,12,1.00000000000000000000,1.989653,1.915000,0.517340,0,1,0,5.000,,first_recovered_aggregate,train
186,S1,B,F1,H1,L1,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.949200,0.000000,0.576200,0,1,1,5.000,,first_recovered_aggregate,train
188,S1,B,F2,H2,L1,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.988476,1.853000,0.576200,0,1,0,5.000,,first_recovered_aggregate,train
190,S1,B,F3,H3,L1,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,348,348,1.00000000000000000000,12,12,1.00000000000000000000,1.989296,1.853000,0.535200,0,1,0,5.000,,first_recovered_aggregate,train
192,S1,B,F4,H4,L1,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,253,253,1.00000000000000000000,12,12,1.00000000000000000000,1.992082,1.915000,0.395900,0,1,0,5.000,,first_recovered_aggregate,train
194,S1,B,F1,H1,L2,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.945590,0.000000,0.756680,0,1,1,5.000,,first_recovered_aggregate,train
196,S1,B,F2,H2,L2,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.984866,1.853000,0.756680,0,1,0,5.000,,first_recovered_aggregate,train
198,S1,B,F3,H3,L2,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,348,348,1.00000000000000000000,12,12,1.00000000000000000000,1.985955,1.853000,0.702240,0,1,0,5.000,,first_recovered_aggregate,train
200,S1,B,F4,H4,L2,1,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,253,253,1.00000000000000000000,12,12,1.00000000000000000000,1.989653,1.915000,0.517340,0,1,0,5.000,,first_recovered_aggregate,train
202,S1,A,F1,H1,L1,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.948836,0.000000,0.576200,0,1,1,5.000,,first_recovered_aggregate,train
204,S1,A,F2,H2,L1,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.988476,1.844000,0.576200,0,1,0,5.000,,first_recovered_aggregate,train
206,S1,A,F3,H3,L1,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,272,272,1.00000000000000000000,12,12,1.00000000000000000000,1.991500,1.917800,0.425000,0,1,0,5.000,,first_recovered_aggregate,train
208,S1,A,F4,H4,L1,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,322,322,1.00000000000000000000,12,12,1.00000000000000000000,1.990088,1.844000,0.495600,0,1,0,5.000,,first_recovered_aggregate,train
210,S1,A,F1,H1,L2,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.945226,0.000000,0.756680,0,1,1,5.000,,first_recovered_aggregate,train
212,S1,A,F2,H2,L2,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.984866,1.844000,0.756680,0,1,0,5.000,,first_recovered_aggregate,train
214,S1,A,F3,H3,L2,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,272,272,1.00000000000000000000,12,12,1.00000000000000000000,1.988889,1.917800,0.555560,0,1,0,5.000,,first_recovered_aggregate,train
216,S1,A,F4,H4,L2,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,322,322,1.00000000000000000000,12,12,1.00000000000000000000,1.986997,1.844000,0.650160,0,1,0,5.000,,first_recovered_aggregate,train
218,S1,B,F1,H1,L1,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.948836,0.000000,0.576200,0,1,1,5.000,,first_recovered_aggregate,train
220,S1,B,F2,H2,L1,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.988476,1.844000,0.576200,0,1,0,5.000,,first_recovered_aggregate,train
222,S1,B,F3,H3,L1,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,272,272,1.00000000000000000000,12,12,1.00000000000000000000,1.991500,1.917800,0.425000,0,1,0,5.000,,first_recovered_aggregate,train
224,S1,B,F4,H4,L1,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,322,322,1.00000000000000000000,12,12,1.00000000000000000000,1.990088,1.844000,0.495600,0,1,0,5.000,,first_recovered_aggregate,train
226,S1,B,F1,H1,L2,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.945226,0.000000,0.756680,0,1,1,5.000,,first_recovered_aggregate,train
228,S1,B,F2,H2,L2,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.984866,1.844000,0.756680,0,1,0,5.000,,first_recovered_aggregate,train
230,S1,B,F3,H3,L2,2,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,272,272,1.00000000000000000000,12,12,1.00000000000000000000,1.988889,1.917800,0.555560,0,1,0,5.000,,first_recovered_aggregate,train
