run_id,experiment_version,scale,node_count,cluster_count,architecture,failure_family,healing_id,variant,load,seed,map_id,map_signature,sim_time_s,run_status,final_raw_tx,final_raw_rx,final_raw_delivery_ratio,final_agg_tx,final_agg_rx,final_agg_delivery_ratio,final_avg_res_j,final_min_res_j,final_consumed_j,final_failed_chs,final_recovered_clusters,low_nodes,failure_injection_s,recovery_start_s,recovery_applied_s,first_aggregate_s,first_recovered_aggregate_s,traffic_recovery_delay_s,recovery_applied_delay_s,split
74,F0_H0_A_S1_L2_seed01,S1,50,3,A,F0,H0,V1,L2,1,map_S1_seed01,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,30.000,complete,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.984866,1.853000,0.756680,0,0,0,,,,6.000,,,,train
75,F0_H0_B_S1_L1_seed01,S1,50,3,B,F0,H0,V1,L1,1,map_S1_seed01,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,30.000,complete,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.988476,1.853000,0.576200,0,0,0,,,,6.000,,,,train
76,F0_H0_B_S1_L2_seed01,S1,50,3,B,F0,H0,V1,L2,1,map_S1_seed01,5782f00887377f0d649f0ea5832c101fd641617fc635951625846fdf653a22c0,30.000,complete,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.984866,1.853000,0.756680,0,0,0,,,,6.000,,,,train
77,F0_H0_A_S1_L1_seed02,S1,50,3,A,F0,H0,V1,L1,2,map_S1_seed02,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,30.000,complete,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.988476,1.844000,0.576200,0,0,0,,,,6.000,,,,train
78,F0_H0_A_S1_L2_seed02,S1,50,3,A,F0,H0,V1,L2,2,map_S1_seed02,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,30.000,complete,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.984866,1.844000,0.756680,0,0,0,,,,6.000,,,,train
79,F0_H0_B_S1_L1_seed02,S1,50,3,B,F0,H0,V1,L1,2,map_S1_seed02,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,30.000,complete,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.988476,1.844000,0.576200,0,0,0,,,,6.000,,,,train
80,F0_H0_B_S1_L2_seed02,S1,50,3,B,F0,H0,V1,L2,2,map_S1_seed02,820bde6d7cf1367ae2e17ba8155aebbd18f4603de0ffb5788da4e5d752201ffe,30.000,complete,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.984866,1.844000,0.756680,0,0,0,,,,6.000,,,,train
81,F0_H0_A_S1_L1_seed03,S1,50,3,A,F0,H0,V1,L1,3,map_S1_seed03,ba2838a4ed006e12afeb225b2d92e1e1d0d60559d3886328b9bafdf26d70da9c,30.000,complete,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.988476,1.844000,0.576200,0,0,0,,,,6.000,,,,train
82,F0_H0_A_S1_L2_seed03,S1,50,3,A,F0,H0,V1,L2,3,map_S1_seed03,ba2838a4ed006e12afeb225b2d92e1e1d0d60559d3886328b9bafdf26d70da9c,30.000,complete,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.984866,1.844000,0.756680,0,0,0,,,,6.000,,,,train
83,F0_H0_B_S1_L1_seed03,S1,50,3,B,F0,H0,V1,L1,3,map_S1_seed03,ba2838a4ed006e12afeb225b2d92e1e1d0d60559d3886328b9bafdf26d70da9c,30.000,complete,376,376,1.00000000000000000000,12,12,1.00000000000000000000,1.988476,1.844000,0.576200,0,0,0,,,,6.000,,,,train
