id,event_time,event_type,node_id,details_json
1,2026-06-04T20:55:57.208160+00:00,NODE_FIRST_SEEN,NODE_01,"{""node_id"": ""NODE_01"", ""seq"": 1, ""uptime_ms"": 10000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.4, ""humidity"": 72.1, ""pressure_hpa"": 1008.5, ""rssi_dbm"": -55, ""battery_v"": 4.05, ""wifi_ip"": ""192.168.1.101""}"
2,2026-06-04T20:59:47.329904+00:00,NODE_TIMEOUT,NODE_01,"{""last_seen"": ""2026-06-04T20:55:57.205570+00:00"", ""age_s"": 230.123908, ""timeout_s"": 15}"
3,2026-06-04T21:00:00.970341+00:00,NODE_RECOVERED,NODE_01,"{""node_id"": ""NODE_01"", ""seq"": 2, ""uptime_ms"": 20000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.6, ""humidity"": 71.9, ""pressure_hpa"": 1008.4, ""rssi_dbm"": -57, ""battery_v"": 4.04, ""wifi_ip"": ""192.168.1.101""}"
4,2026-06-04T22:17:41.458922+00:00,PACKET_GAP,NODE_01,"{""previous_seq"": 5, ""current_seq"": 100, ""gap"": 94}"
5,2026-06-04T22:53:37.252324+00:00,NODE_FIRST_SEEN,NODE_02,"{""node_id"": ""NODE_02"", ""seq"": 1, ""uptime_ms"": 5000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 29.13, ""humidity"": 71.86, ""pressure_hpa"": 1008.93, ""rssi_dbm"": -48, ""battery_v"": 3.93, ""wifi_ip"": ""192.168.1.102""}"
6,2026-06-04T22:53:37.538293+00:00,NODE_FIRST_SEEN,NODE_03,"{""node_id"": ""NODE_03"", ""seq"": 1, ""uptime_ms"": 5000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 29.79, ""humidity"": 72.83, ""pressure_hpa"": 1008.39, ""rssi_dbm"": -48, ""battery_v"": 3.93, ""wifi_ip"": ""192.168.1.103""}"
7,2026-06-04T22:53:37.820542+00:00,NODE_FIRST_SEEN,NODE_04,"{""node_id"": ""NODE_04"", ""seq"": 1, ""uptime_ms"": 5000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 28.23, ""humidity"": 70.62, ""pressure_hpa"": 1007.73, ""rssi_dbm"": -55, ""battery_v"": 3.97, ""wifi_ip"": ""192.168.1.104""}"
8,2026-06-04T22:53:38.105468+00:00,NODE_FIRST_SEEN,NODE_05,"{""node_id"": ""NODE_05"", ""seq"": 1, ""uptime_ms"": 5000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 27.76, ""humidity"": 70.51, ""pressure_hpa"": 1009.63, ""rssi_dbm"": -48, ""battery_v"": 4.03, ""wifi_ip"": ""192.168.1.105""}"
9,2026-06-04T22:53:38.388906+00:00,NODE_FIRST_SEEN,NODE_06,"{""node_id"": ""NODE_06"", ""seq"": 1, ""uptime_ms"": 5000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 30.73, ""humidity"": 70.89, ""pressure_hpa"": 1007.86, ""rssi_dbm"": -53, ""battery_v"": 3.92, ""wifi_ip"": ""192.168.1.106""}"
10,2026-06-04T22:53:38.672934+00:00,NODE_FIRST_SEEN,NODE_07,"{""node_id"": ""NODE_07"", ""seq"": 1, ""uptime_ms"": 5000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 29.93, ""humidity"": 68.4, ""pressure_hpa"": 1007.98, ""rssi_dbm"": -79, ""battery_v"": 4.08, ""wifi_ip"": ""192.168.1.107""}"
11,2026-06-04T22:53:38.962135+00:00,NODE_FIRST_SEEN,NODE_08,"{""node_id"": ""NODE_08"", ""seq"": 1, ""uptime_ms"": 5000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 30.15, ""humidity"": 70.12, ""pressure_hpa"": 1009.87, ""rssi_dbm"": -51, ""battery_v"": 4.04, ""wifi_ip"": ""192.168.1.108""}"
12,2026-06-04T22:53:39.246577+00:00,NODE_FIRST_SEEN,NODE_09,"{""node_id"": ""NODE_09"", ""seq"": 1, ""uptime_ms"": 5000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 27.62, ""humidity"": 71.0, ""pressure_hpa"": 1008.09, ""rssi_dbm"": -68, ""battery_v"": 4.02, ""wifi_ip"": ""192.168.1.109""}"
13,2026-06-04T22:53:39.530133+00:00,NODE_FIRST_SEEN,NODE_10,"{""node_id"": ""NODE_10"", ""seq"": 1, ""uptime_ms"": 5000, ""mode"": ""NORMAL"", ""last_command"": ""NONE"", ""temp_c"": 29.87, ""humidity"": 73.18, ""pressure_hpa"": 1009.07, ""rssi_dbm"": -49, ""battery_v"": 3.88, ""wifi_ip"": ""192.168.1.110""}"
