run_id,external_run_id,scale,node_count,cluster_count,bs_count,map_profile,seed,architecture,load,failure_family,healing_id,variant,map_id,map_signature,mean_node_to_ch_distance,max_node_to_ch_distance,mean_ch_to_bs_distance,max_ch_to_bs_distance,cluster_size_mean,cluster_size_max,cluster_size_cv,long_link_ratio,failure_time_s,recovery_applied_delay_s,recovery_applied_s,recovery_event_time_s,first_recovered_aggregate_s,traffic_recovery_delay_s,recovery_stress_score,recovery_map_profile_penalty_s,recovery_queue_norm,recovery_cluster_norm,recovery_energy_norm,recovery_distance_norm,consumed_j,avg_res_j,min_res_j,low_nodes,raw_tx,raw_rx,raw_delivery_ratio,agg_tx,agg_rx,agg_delivery_ratio,pending_raw_total,failed_chs,recovered_clusters,candidate_group_key,is_healing_case,is_baseline,is_failure_no_healing,source_output_dir
campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed001,campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed001_01_20260601_155354,S6,1600,64,3,M1_BALANCED,1,A,L1,F0,H0,V1,map_S6_M1_BALANCED_seed001,69f0076ba7ca36e43a37faeabcc0a51dbe08b95d27071cce4d33331b782d8886,32.072,65.081,187.587,516.691,25,47,0.2804,0.1369,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,823.086215,1.485571,0.0,64,451584,451584,1.0,576,576,1.0,38400,0,0,S6|M1_BALANCED|1|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S6_1600/outputs_production_50seed_part01_25/run_campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed001_01_20260601_155354
campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed002,campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed002_02_20260601_155452,S6,1600,64,3,M1_BALANCED,2,A,L1,F0,H0,V1,map_S6_M1_BALANCED_seed002,d33c0e7c20901ababbb200d714f693fb8eb28221e9aa4a8becae852a499a8ffe,32.696,66.28,182.272,500.191,25,46,0.3897,0.1456,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,830.977945,1.480639,0.0,62,451584,451584,1.0,576,576,1.0,38400,0,0,S6|M1_BALANCED|2|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S6_1600/outputs_production_50seed_part01_25/run_campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed002_02_20260601_155452
campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed003,campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed003_03_20260601_155601,S6,1600,64,3,M1_BALANCED,3,A,L1,F0,H0,V1,map_S6_M1_BALANCED_seed003,808f759bae44fe0b9bb1f36a62caa2213bbdc63a45277049b10a6ec3bd3ec17e,32.291,64.988,175.254,487.443,25,40,0.3399,0.1319,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,825.911983,1.483805,0.0,64,451584,451584,1.0,576,576,1.0,38400,0,0,S6|M1_BALANCED|3|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S6_1600/outputs_production_50seed_part01_25/run_campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed003_03_20260601_155601
campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed004,campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed004_04_20260601_155714,S6,1600,64,3,M1_BALANCED,4,A,L1,F0,H0,V1,map_S6_M1_BALANCED_seed004,46d45d9e513eb970af5cc58ef8c750865d5727b172459b1ecc061800cc51f82b,32.827,64.82,175.449,488.313,25,49,0.3536,0.1206,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,831.792174,1.48013,0.0,63,451584,451584,1.0,576,576,1.0,38400,0,0,S6|M1_BALANCED|4|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S6_1600/outputs_production_50seed_part01_25/run_campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed004_04_20260601_155714
campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed005,campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed005_05_20260601_155824,S6,1600,64,3,M1_BALANCED,5,A,L1,F0,H0,V1,map_S6_M1_BALANCED_seed005,4599d7b83e2fd3009b7c98b413ce9b60c347b67849313e733103dfe7e88f5cca,32.279,63.932,180.591,522.863,25,46,0.3571,0.135,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,826.486655,1.483446,0.0,63,451584,451584,1.0,576,576,1.0,38400,0,0,S6|M1_BALANCED|5|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S6_1600/outputs_production_50seed_part01_25/run_campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed005_05_20260601_155824
campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed006,campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed006_06_20260601_155923,S6,1600,64,3,M1_BALANCED,6,A,L1,F0,H0,V1,map_S6_M1_BALANCED_seed006,7018db65ab2410480b2c4801da3d2938d7ffdccc0f835d9f997b296c15663d6c,32.415,65.231,187.599,482.413,25,44,0.3567,0.1462,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,828.161027,1.482399,0.0,64,451584,451584,1.0,576,576,1.0,38400,0,0,S6|M1_BALANCED|6|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S6_1600/outputs_production_50seed_part01_25/run_campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed006_06_20260601_155923
campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed007,campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed007_07_20260601_160027,S6,1600,64,3,M1_BALANCED,7,A,L1,F0,H0,V1,map_S6_M1_BALANCED_seed007,4cbd95810b754a11e9d394e9529cd42cef32f9af620597a41a754b3a1b67646e,32.655,63.254,173.838,502.935,25,43,0.3356,0.1144,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,830.046382,1.481221,0.0,64,451584,451584,1.0,576,576,1.0,38400,0,0,S6|M1_BALANCED|7|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S6_1600/outputs_production_50seed_part01_25/run_campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed007_07_20260601_160027
campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed008,campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed008_08_20260601_160124,S6,1600,64,3,M1_BALANCED,8,A,L1,F0,H0,V1,map_S6_M1_BALANCED_seed008,47c8f1202c82a1b8a6f99d448f67f503f86ce454583391af1d07ee60cc81509d,32.242,62.83,181.524,506.82,25,43,0.3233,0.1388,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,824.887203,1.484445,0.0,63,451584,451584,1.0,576,576,1.0,38400,0,0,S6|M1_BALANCED|8|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S6_1600/outputs_production_50seed_part01_25/run_campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed008_08_20260601_160124
campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed009,campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed009_09_20260601_160218,S6,1600,64,3,M1_BALANCED,9,A,L1,F0,H0,V1,map_S6_M1_BALANCED_seed009,a64c575cd409d710964220c44d3f66975243148eb0f7faad14aee75ec4b83f12,32.766,66.024,182.157,514.578,25,51,0.3682,0.135,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,832.109165,1.479932,0.0,63,451584,451584,1.0,576,576,1.0,38400,0,0,S6|M1_BALANCED|9|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S6_1600/outputs_production_50seed_part01_25/run_campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed009_09_20260601_160218
campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed010,campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed010_10_20260601_160318,S6,1600,64,3,M1_BALANCED,10,A,L1,F0,H0,V1,map_S6_M1_BALANCED_seed010,9ee6eda88430b56f9effe2a364aceb5da89125509d64b17102129cd3d26b1fc3,32.696,64.558,180.856,498.41,25,43,0.3557,0.1375,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,830.706821,1.480808,0.0,63,451584,451584,1.0,576,576,1.0,38400,0,0,S6|M1_BALANCED|10|A|L1|F0,false,true,false,/home/cyfer/FYP/WSN_simulation_V3/runs/S6_1600/outputs_production_50seed_part01_25/run_campaign_v3_S6_M1_BALANCED_A_L1_F0_H0_seed010_10_20260601_160318
